"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"758607135592722433","","","2016-07-28 10:16:50 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Org mode tables continued... (there will be more too, there's so much org mode!) #emacs #orgmode https://t.co/PByGa7IjBw","","","","http://twitter.com/emacs_gifs/status/758607135592722433/photo/1"
"758561960199753728","758397442282971137","19078230","2016-07-28 07:17:19 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@EyalL #magit interactive #rebase is on my things to do this evening","","","",""
"758317360734351360","","","2016-07-27 15:05:22 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","But why do that when Org-mode has you covered ... it'll take a while to show you all this! https://t.co/2erNvkSlIL","","","","http://twitter.com/emacs_gifs/status/758317360734351360/photo/1"
"758316921401978880","","","2016-07-27 15:03:37 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","If you want markdown you can make tables from good old CSV with a simple macro... https://t.co/WKv2mROUGD https://t.co/D9njelUKeX","","","","https://gist.github.com/jasonm23/4c221d4d5d34840d8e73c9425081e276,http://twitter.com/emacs_gifs/status/758316921401978880/photo/1"
"758311379036024836","","","2016-07-27 14:41:36 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","highlight-indentation-mode is nice for ... er... highlighting-indentation! https://t.co/HWjYjvseX6","","","","http://twitter.com/emacs_gifs/status/758311379036024836/photo/1"
"758309902649397248","","","2016-07-27 14:35:44 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Always more than one way to do something - so let's make popup help...  https://t.co/NcV37IGevd https://t.co/3KZkahMaz9","","","","https://gist.github.com/jasonm23/ef1c3aa5f2eb6774688720154e3412f7,http://twitter.com/emacs_gifs/status/758309902649397248/photo/1"
"758306955123232769","","","2016-07-27 14:24:01 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Get docstrings for emacs lisp functions (built in style.) #emacs #help https://t.co/wudLdm3XSx","","","","http://twitter.com/emacs_gifs/status/758306955123232769/photo/1"
"758095169149214720","","","2016-07-27 00:22:27 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Not a GIF but nice, https://t.co/7mNS5vbAa1 - Org HTML export theme Bigblow (mobile support is lacking, but it's still very nice!)","","","","https://youtube.com/watch?v=DnSGSiXYuOk"
"758091181569912832","","","2016-07-27 00:06:36 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","The mode-line customization is based on Amit Patel's 2011 blog post https://t.co/BVUkQ6QTOe","","","","http://amitp.blogspot.sg/2011/08/emacs-custom-mode-line.html?m=1"
"758090545877037057","","","2016-07-27 00:04:05 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","So where did I get that nice Emacs theme? https://t.co/SwN9X5zF0u","","","","https://github.com/emacsfodder/emacs-theme-darktooth"
"758086025713299457","","","2016-07-26 23:46:07 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","staging and un-staging lines or selections is simple with #magit in #emacs https://t.co/4sAJyqEguY","","","","http://twitter.com/emacs_gifs/status/758086025713299457/photo/1"
"757938451333259265","757693090668826624","5450252","2016-07-26 13:59:43 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@itszero @vimgifs nothing but love &lt;3","","","",""
"757506768352051201","","","2016-07-25 09:24:22 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Query regexp replace with Anzu visualisations and Lisp function processing on replacement, makes for powerful stuff https://t.co/4OXZNmgj5k","","","","http://twitter.com/emacs_gifs/status/757506768352051201/photo/1"
"757504532167299073","","","2016-07-25 09:15:28 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Search with swiper https://t.co/mpjn0kuLUi","","","","http://twitter.com/emacs_gifs/status/757504532167299073/photo/1"
"757503925104709632","","","2016-07-25 09:13:04 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","M-x reverse-region https://t.co/HjjCu4SXJX","","","","http://twitter.com/emacs_gifs/status/757503925104709632/photo/1"
"757503833715073024","","","2016-07-25 09:12:42 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","M-x sort-lines https://t.co/gsH5nR4BXh","","","","http://twitter.com/emacs_gifs/status/757503833715073024/photo/1"
"757221157011501056","","","2016-07-24 14:29:26 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WDired mode - full Emacs editing of file names in a Dired view C-x C-q https://t.co/L6XVvvrxyG","","","","http://twitter.com/emacs_gifs/status/757221157011501056/photo/1"
"757220492944171009","","","2016-07-24 14:26:48 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iedit-mode https://t.co/DMvfDsbFeC  install and use with M-x iedit-mode (or bind it to a key chord) https://t.co/qz7IAqUUWW","","","","https://github.com/victorhge/iedit,http://twitter.com/emacs_gifs/status/757220492944171009/photo/1"
